station_code,station_name,state,district,observation_date,season,max_temp_c,min_temp_c,avg_temp_c,rainfall_mm,relative_humidity_percent,wind_speed_kmh,wind_direction,visibility_km,cloud_cover_percent,sunshine_hours,atmospheric_pressure_hpa,soil_temperature_c,heat_index_c,dew_point_c,flood_warning,cyclone_alert,rainfall_category,weather_condition
IMD1000,Chennai Weather Station,Tamil Nadu,Chennai,2020-04-17,Summer,36.5,27.4,30.7,1.0291363204682031,38,15.8,SW,5.8,6,1.9,1019.0,30.4,32.6,18.3,No,No,Light,Haze
IMD1001,Lucknow Weather Station,Uttar Pradesh,Lucknow,2021-05-17,Summer,45.7,33.3,39.2,2.2003901431159076,50,3.7,SW,11.2,13,10.9,1014.8,37.7,41.7,29.2,No,No,Light,Cloudy
IMD1002,Nagpur Weather Station,Maharashtra,Nagpur,2020-09-15,Monsoon,27.3,15.8,20.7,30.4,60,19.3,N,11.8,43,6.3,1008.9,21.1,23.7,12.7,No,No,Moderate,Fog
IMD1003,Jaipur Weather Station,Rajasthan,Jaipur,2023-08-01,Monsoon,37.0,27.2,33.0,36.6,71,17.9,NW,8.3,53,4.5,1007.7,31.2,36.5,27.2,No,No,Moderate,Haze
IMD1004,Amritsar Weather Station,Punjab,Amritsar,2021-01-06,Winter,22.0,13.8,16.7,3.0333153573151286,48,22.6,NE,11.1,49,6.9,1009.0,16.4,19.1,6.3,No,No,Light,Cloudy
IMD1005,Patiala Weather Station,Punjab,Patiala,2023-04-15,Summer,44.4,34.1,40.6,7.573356407835418,47,16.8,N,9.9,63,11.6,1015.7,41.7,43.0,30.0,No,No,Light,Cloudy
IMD1006,Guwahati Weather Station,Assam,Guwahati,2023-01-19,Winter,23.0,15.5,20.2,5.126921359329213,51,30.3,N,1.1,58,2.3,1022.4,19.5,22.8,10.4,No,No,Light,Haze
IMD1007,Durgapur Weather Station,West Bengal,Durgapur,2021-07-10,Monsoon,28.8,22.2,24.7,14.4,46,20.9,NE,2.2,1,9.5,1018.3,24.6,27.0,13.9,No,No,Light,Clear
IMD1008,Coimbatore Weather Station,Tamil Nadu,Coimbatore,2021-10-22,Post-Monsoon,21.9,14.9,19.7,1.0,50,14.6,E,13.4,53,0.8,999.0,22.0,22.2,9.7,No,Yes,Light,Rain
IMD1009,Hubballi Weather Station,Karnataka,Hubballi,2023-10-01,Post-Monsoon,21.1,12.3,18.7,2.7223858664253986,39,30.6,W,8.5,18,11.0,999.6,20.6,20.6,6.5,No,No,Light,Rain
