observation_id,date,station_id,country,latitude,longitude,elevation_m,avg_temperature_c,max_temperature_c,min_temperature_c,precipitation_mm,snowfall_cm,humidity_percent,wind_speed_kmh,wind_direction,solar_radiation_wm2,atmospheric_pressure_hpa,cloud_cover_percent,uv_index,soil_moisture_percent,drought_index,evapotranspiration_mm,air_quality_index,pm25,pm10,co2_ppm,methane_ppb,ozone_ppb,climate_zone,weather_event,disaster_risk
1,2023-08-02,NOAA1001,Mexico,31.6007,-111.277,2209.4,32.0,38.1,24.6,12.0,0.0,45,5.7,W,125.4,1004.1,11,4,27.2,Medium,6.0,128,24.0,57.0,422.6,1911.2,48.1,Polar,Heatwave,Low
2,2022-07-08,NOAA1017,USA,43.2114,-114.8994,1267.8,28.7,32.4,25.4,8.6,0.0,58,34.8,NE,174.2,1014.9,12,6,46.2,Medium,5.51,98,30.1,56.4,404.7,1831.0,35.5,Continental,None,High
3,2021-08-23,NOAA1039,Canada,38.8565,-83.8394,137.5,25.9,29.3,22.2,16.8,0.0,65,5.4,SE,793.2,1007.4,48,5,44.8,Medium,5.55,98,24.5,45.8,402.9,1874.8,44.8,Arid,Fog,High
4,2023-08-20,NOAA1038,Mexico,29.1073,-82.4398,490.2,40.2,44.5,32.3,17.8,0.0,47,29.5,SE,647.7,1003.8,98,1,28.6,Medium,6.09,107,24.6,42.4,423.0,1876.0,37.7,Polar,Fog,Medium
5,2021-03-11,NOAA1031,Canada,46.2324,-87.3574,428.6,7.6,10.4,1.1,43.1,0.0,80,25.2,W,818.3,1008.7,51,6,51.5,Low,3.14,93,19.2,43.6,420.0,1890.8,43.1,Temperate,Rain,High
6,2020-11-23,NOAA1038,USA,34.2344,-90.0344,1404.1,3.9,7.4,-1.4,28.1,0.0,64,42.5,NE,645.4,1002.4,68,5,49.1,Low,1.27,94,22.3,45.0,421.6,1929.5,41.4,Arid,Coldwave,Low
7,2022-11-05,NOAA1040,Canada,45.2001,-95.0632,596.7,8.5,12.7,5.5,10.5,0.0,44,43.0,N,579.2,1019.2,62,1,24.6,Medium,2.0,113,24.8,49.6,415.7,1846.1,33.0,Polar,None,Low
8,2024-02-07,NOAA1004,Mexico,43.38,-116.6817,1425.8,-1.5,3.8,-5.1,14.8,17.4,58,20.2,SE,843.1,1007.6,96,4,44.0,Medium,0.57,113,25.7,53.0,424.9,1941.2,47.5,Temperate,Rain,Low
9,2020-05-11,NOAA1001,Mexico,38.2941,-90.4589,21.6,18.6,24.8,16.2,10.4,0.0,51,4.9,N,787.7,1000.9,9,9,31.5,Medium,4.13,107,27.8,59.3,428.8,1892.9,36.7,Polar,Coldwave,Medium
10,2021-05-12,NOAA1026,USA,27.2638,-86.438,1062.9,26.7,31.2,19.5,6.0,0.0,53,4.3,NE,148.5,1012.4,93,6,41.9,Medium,4.22,111,25.4,56.0,428.0,1914.5,34.8,Continental,Rain,Medium
11,2022-08-05,NOAA1004,Canada,44.3925,-75.2099,293.7,31.4,37.3,26.2,36.4,0.0,63,2.6,NE,841.1,1040.0,30,3,42.6,Low,5.67,93,24.9,35.1,412.6,1884.1,39.5,Temperate,Heatwave,Medium
12,2024-05-24,NOAA1018,Canada,41.7182,-82.3612,2350.1,16.3,22.3,11.4,27.3,0.0,65,10.2,SE,875.0,1011.2,74,9,38.5,Low,3.07,80,24.0,46.4,422.9,1959.1,35.9,Polar,Rain,Low
13,2022-11-06,NOAA1011,USA,39.2808,-85.5129,705.6,5.8,8.5,-1.5,8.8,0.0,42,12.6,N,595.5,1017.0,53,11,30.7,Medium,1.92,112,24.8,59.9,429.3,1910.3,42.5,Tropical,Storm,Medium
14,2020-09-25,NOAA1019,Canada,32.5883,-81.1437,217.6,29.5,34.2,21.5,15.2,0.0,64,44.8,NE,530.1,1007.4,64,5,38.9,Medium,5.12,93,30.0,49.8,417.4,1884.3,28.3,Tropical,Heatwave,High
15,2023-12-11,NOAA1039,Mexico,37.6946,-85.9318,1663.8,3.2,10.8,0.6,16.2,0.0,53,39.8,S,192.3,991.8,13,9,31.6,Medium,1.04,101,28.1,46.0,422.8,1884.2,37.7,Arid,Coldwave,Medium
16,2021-05-29,NOAA1005,Mexico,35.1658,-108.2292,10.6,23.8,30.4,18.0,11.7,0.0,43,13.3,NW,541.3,1028.1,54,9,22.3,Medium,3.72,102,27.5,60.8,421.4,1910.3,39.4,Polar,Coldwave,Low
17,2022-05-30,NOAA1002,Canada,33.7516,-70.814,2916.6,14.3,16.5,10.2,13.1,0.0,46,31.3,NE,382.9,1013.8,71,7,39.8,Medium,3.64,106,30.4,63.0,416.5,1873.6,40.0,Tropical,Heatwave,Low
18,2021-01-02,NOAA1026,Mexico,45.7375,-77.7873,800.4,2.9,9.6,0.3,10.8,0.0,51,39.5,NW,277.9,1012.7,58,6,32.6,Medium,2.03,108,24.5,57.8,410.7,1945.7,46.0,Continental,Storm,Medium
19,2024-11-05,NOAA1049,Canada,33.4275,-94.9639,2038.6,12.2,19.3,8.2,6.0,0.0,40,3.2,S,242.9,1024.2,33,1,21.7,Medium,2.7,119,27.9,66.7,431.1,1864.8,40.6,Temperate,Heatwave,High
20,2021-01-24,NOAA1002,Mexico,35.4654,-94.3645,2419.5,-1.0,5.1,-8.6,25.3,14.7,58,10.5,W,156.0,1013.8,85,6,42.6,Low,1.18,86,25.9,43.4,416.0,1838.0,40.5,Arid,Fog,Medium
21,2021-10-30,NOAA1044,Canada,38.3059,-113.0651,1994.8,12.8,17.1,6.3,18.8,0.0,58,9.5,S,424.9,1018.0,0,5,37.2,Medium,2.78,106,24.9,49.4,418.7,1884.5,32.9,Tropical,Coldwave,Medium
22,2024-06-13,NOAA1042,USA,31.8109,-86.1603,1857.8,26.6,29.2,18.9,19.9,0.0,51,12.1,S,279.7,1014.8,25,3,28.1,Medium,4.48,115,26.1,55.4,430.5,1835.7,41.5,Continental,Heatwave,High
23,2023-03-24,NOAA1045,Mexico,34.2155,-101.2198,442.7,11.0,17.1,3.6,23.1,0.0,54,39.0,NE,722.7,1023.4,28,3,42.7,Low,3.04,110,19.7,43.4,413.1,1924.7,49.7,Temperate,Heatwave,Low
24,2024-06-29,NOAA1042,Mexico,48.7094,-90.0592,2850.1,28.9,36.2,23.2,24.1,0.0,63,32.9,W,764.5,1015.3,70,8,50.5,Low,5.82,110,23.5,53.0,414.3,1974.6,43.8,Arid,Coldwave,Medium
25,2023-07-07,NOAA1017,Canada,26.8596,-107.7135,815.1,26.2,30.1,21.0,21.3,0.0,54,8.0,SE,406.4,1007.0,19,4,30.8,Low,4.75,117,24.3,40.6,411.0,1930.8,50.1,Continental,Heatwave,High
